0.0009973 mouse 0 1388 813 $
0.0009917 mouse 0 1385 809 $
0.0009974 mouse 0 1381 809 $
0.0009982 mouse 0 1374 806 $
0.0009977 mouse 0 1371 806 $
0.0009971 mouse 0 1367 802 $
0.0009984 mouse 0 1360 802 $
0.0009964 mouse 0 1357 802 $
0.0009974 mouse 0 1353 802 $
0.0010291 mouse 0 1346 802 $
0.0009654 mouse 0 1343 802 $
0.0009972 mouse 0 1339 802 $
0.0010247 mouse 0 1336 802 $
0.000997 mouse 0 1336 799 $
0.0009972 mouse 0 1329 799 $
0.000998 mouse 0 1325 799 $
0.0010681 mouse 0 1322 799 $
0.0008981 mouse 0 1318 799 $
0.001096 mouse 0 1315 799 $
0.0008984 mouse 0 1311 795 $
0.0010022 mouse 0 1308 795 $
0.0019898 mouse 0 1304 795 $
0.0009973 mouse 0 1301 795 $
0.0009996 mouse 0 1297 795 $
0.0009971 mouse 0 1294 795 $
0.0009957 mouse 0 1290 795 $
0.0009972 mouse 0 1287 795 $
0.0009977 mouse 0 1283 795 $
0.000997 mouse 0 1280 795 $
0.0010496 mouse 0 1276 795 $
0.0020326 mouse 0 1273 795 $
0.0009878 mouse 0 1269 795 $
0.0010686 mouse 0 1266 795 $
0.0018969 mouse 0 1262 795 $
0.0009982 mouse 0 1259 795 $
0.0019937 mouse 0 1255 798 $
0.0009986 mouse 0 1252 798 $
0.0029914 mouse 0 1248 798 $
0.0020231 mouse 0 1245 798 $
0.0010033 mouse 0 1241 798 $
0.0020632 mouse 0 1238 802 $
0.0018926 mouse 0 1234 802 $
0.0019941 mouse 0 1231 802 $
0.0029928 mouse 0 1227 805 $
0.0019951 mouse 0 1224 805 $
0.0040157 mouse 0 1220 805 $
0.0049578 mouse 0 1217 805 $
0.0020236 mouse 0 1213 805 $
0.0009977 mouse 0 1210 805 $
0.0039617 mouse 0 1206 805 $
0.0029911 mouse 0 1203 805 $
0.0019947 mouse 0 1199 802 $
0.001021 mouse 0 1196 802 $
0.00307 mouse 0 1192 802 $
0.0019908 mouse 0 1192 799 $
0.0010007 mouse 0 1189 799 $
0.0029143 mouse 0 1182 795 $
0.0019718 mouse 0 1178 792 $
0.0019953 mouse 0 1175 792 $
0.001998 mouse 0 1171 792 $
0.0009937 mouse 0 1168 792 $
0.001994 mouse 0 1164 792 $
0.0019951 mouse 0 1161 788 $
0.0019944 mouse 0 1157 788 $
0.0009973 mouse 0 1154 788 $
0.0019946 mouse 0 1150 785 $
0.0039903 mouse 0 1147 785 $
0.0010243 mouse 0 1147 781 $
0.0019944 mouse 0 1140 778 $
0.0009976 mouse 0 1136 778 $
0.0009977 mouse 0 1136 774 $
0.0009685 mouse 0 1133 774 $
0.0010254 mouse 0 1126 774 $
0.0019667 mouse 0 1122 774 $
0.00302 mouse 0 1115 774 $
0.0019979 mouse 0 1112 771 $
0.001964 mouse 0 1108 771 $
0.0009971 mouse 0 1101 771 $
0.0019941 mouse 0 1098 767 $
0.0009974 mouse 0 1104 764 $
0.0030911 mouse 0 1098 760 $
0.0009934 mouse 0 1094 760 $
0.0018994 mouse 0 1091 760 $
0.0010914 mouse 0 1087 760 $
0.0009993 mouse 0 1084 760 $
0.0009952 mouse 0 1080 760 $
0.0009274 mouse 0 1073 757 $
0.0009979 mouse 0 1070 757 $
0.0009734 mouse 0 1066 757 $
0.0009976 mouse 0 1063 753 $
0.0010205 mouse 0 1059 753 $
0.0009734 mouse 0 1056 753 $
0.0010953 mouse 0 1052 750 $
0.000899 mouse 0 1049 750 $
0.0009978 mouse 0 1042 750 $
0.0010146 mouse 0 1038 746 $
0.0009799 mouse 0 1035 746 $
0.0009972 mouse 0 1031 746 $
0.0009973 mouse 0 1024 746 $
0.0010015 mouse 0 1021 746 $
0.0009932 mouse 0 1017 746 $
0.0009969 mouse 0 1014 746 $
0.000998 mouse 0 1010 746 $
0.0009971 mouse 0 1003 746 $
0.0019948 mouse 0 1000 743 $
0.0009981 mouse 0 993 743 $
0.0009966 mouse 0 989 743 $
0.0009983 mouse 0 986 743 $
0.0009962 mouse 0 986 739 $
0.0009975 mouse 0 979 739 $
0.0019989 mouse 0 975 739 $
0.0009929 mouse 0 972 739 $
0.0019987 mouse 0 968 736 $
0.0019947 mouse 0 965 736 $
0.0009932 mouse 0 961 736 $
0.0009977 mouse 0 958 732 $
0.0019947 mouse 0 958 729 $
0.0009984 mouse 0 954 729 $
0.0009978 mouse 0 951 729 $
0.000995 mouse 0 947 729 $
0.0010268 mouse 0 947 725 $
0.0010003 mouse 0 944 725 $
0.001963 mouse 0 940 725 $
0.0019946 mouse 0 937 725 $
0.0009972 mouse 0 937 722 $
0.0019946 mouse 0 933 722 $
0.0019984 mouse 0 930 718 $
0.0009939 mouse 0 926 718 $
0.000997 mouse 0 926 715 $
0.0029923 mouse 0 926 711 $
0.0009975 mouse 0 923 711 $
0.0009971 mouse 0 919 711 $
0.0029915 mouse 0 916 711 $
0.0030959 mouse 0 916 708 $
0.0008951 mouse 0 912 708 $
0.0039874 mouse 0 912 704 $
0.0029955 mouse 0 912 701 $
0.0070808 mouse 0 909 697 $
0.0039885 mouse 0 905 697 $
0.0069116 mouse 0 905 694 $
0.0029605 mouse 0 902 694 $
0.0070083 mouse 0 898 694 $
0.002965 mouse 0 898 690 $
0.0030191 mouse 0 898 687 $
0.0029891 mouse 0 898 683 $
0.0049613 mouse 0 895 680 $
0.0050085 mouse 0 891 680 $
0.002485 mouse 0 891 676 $
0.0029722 mouse 0 888 673 $
0.0010241 mouse 0 888 669 $
0.0019927 mouse 0 888 666 $
0.0009753 mouse 0 884 666 $
0.0020493 mouse 0 884 662 $
0.0020383 mouse 0 884 659 $
0.0008947 mouse 0 881 659 $
0.003017 mouse 0 881 655 $
0.0029677 mouse 0 881 652 $
0.0030164 mouse 0 881 648 $
0.0009723 mouse 0 877 648 $
0.0020211 mouse 0 877 645 $
0.0029908 mouse 0 877 641 $
0.0020713 mouse 0 877 638 $
0.0009198 mouse 0 874 638 $
0.0019716 mouse 0 874 634 $
0.0030156 mouse 0 870 634 $
0.0009729 mouse 0 870 631 $
0.004091 mouse 0 870 627 $
0.0030671 mouse 0 870 624 $
0.0020657 mouse 0 867 624 $
0.0038913 mouse 0 867 620 $
0.0070061 mouse 0 867 617 $
0.0059595 mouse 0 870 613 $
0.0049879 mouse 0 870 610 $
0.0019928 mouse 0 873 610 $
0.0029927 mouse 0 873 606 $
0.0099727 mouse 0 873 603 $
0.0080818 mouse 0 873 599 $
0.0038866 mouse 0 873 596 $
0.0030931 mouse 0 877 596 $
0.0028913 mouse 0 877 592 $
0.005014 mouse 0 880 592 $
0.0019929 mouse 0 880 589 $
0.0019975 mouse 0 884 589 $
0.0019947 mouse 0 884 585 $
0.0039606 mouse 0 887 582 $
0.0029944 mouse 0 887 578 $
0.0030176 mouse 0 891 578 $
0.0020691 mouse 0 891 575 $
0.0038867 mouse 0 894 575 $
0.0010908 mouse 0 894 571 $
0.0029243 mouse 0 898 571 $
0.0009951 mouse 0 898 568 $
0.0019722 mouse 0 901 564 $
0.0020298 mouse 0 905 564 $
0.0019585 mouse 0 908 561 $
0.0010375 mouse 0 912 561 $
0.0019544 mouse 0 915 557 $
0.0019985 mouse 0 919 557 $
0.0019947 mouse 0 922 554 $
0.0019907 mouse 0 926 550 $
0.0009974 mouse 0 929 550 $
0.0009974 mouse 0 929 547 $
0.0009982 mouse 0 933 547 $
0.0009984 mouse 0 936 547 $
0.001994 mouse 0 940 543 $
0.0009972 mouse 0 943 543 $
0.0010242 mouse 0 943 540 $
0.0019667 mouse 0 947 540 $
0.0009972 mouse 0 947 536 $
0.0010012 mouse 0 950 536 $
0.0019922 mouse 0 950 533 $
0.0009963 mouse 0 954 533 $
0.0020234 mouse 0 957 529 $
0.0019672 mouse 0 961 529 $
0.0009984 mouse 0 964 526 $
0.0020236 mouse 0 968 526 $
0.001963 mouse 0 971 522 $
0.0030154 mouse 0 975 522 $
0.0009969 mouse 0 975 519 $
0.0030668 mouse 0 978 515 $
0.0028946 mouse 0 982 512 $
0.0019958 mouse 0 985 512 $
0.0020214 mouse 0 985 508 $
0.0019659 mouse 0 989 508 $
0.0109712 mouse 0 992 505 $
0.004987 mouse 0 992 501 $
0.0041335 mouse 0 996 501 $
0.0010001 mouse 0 996 498 $
0.0060075 mouse 0 999 498 $
0.0019723 mouse 0 999 494 $
0.0079769 mouse 0 1003 494 $
0.0190481 mouse 0 1006 494 $
0.0098754 mouse 0 1006 491 $
0.0009969 mouse 0 1010 491 $
0.0060817 mouse 0 1010 487 $
0.0029198 mouse 0 1013 484 $
0.0049627 mouse 0 1013 480 $
0.0050132 mouse 0 1017 480 $
0.023936 mouse 0 1017 477 $
0.09784 mouse 0 1014 477 $
0.0040224 mouse 0 1010 477 $
0.0049839 mouse 0 1007 477 $
0.0100535 mouse 0 1003 477 $
0.0118609 mouse 0 1000 477 $
0.0079775 mouse 0 996 477 $
0.1003893 mouse 0 996 480 $
0.0709701 mouse 0 999 480 $
0.0119693 mouse 0 1003 480 $
0.0090753 mouse 0 1006 480 $
0.1061888 mouse 1 1006 480 Button.left True $
0.120266 mouse 1 1006 480 Button.left False $
0.5197702 mouse 0 1006 483 $
0.0020934 mouse 0 1010 483 $
0.0019001 mouse 0 1013 487 $
0.0010868 mouse 0 1020 487 $
0.0009098 mouse 0 1024 487 $
0.0009913 mouse 0 1027 487 $
0.0009974 mouse 0 1038 490 $
0.0009968 mouse 0 1041 494 $
0.0009981 mouse 0 1052 497 $
0.0009989 mouse 0 1059 501 $
0.0009963 mouse 0 1069 501 $
0.0009967 mouse 0 1073 504 $
0.0009974 mouse 0 1083 508 $
0.0009971 mouse 0 1094 511 $
0.000998 mouse 0 1101 515 $
0.0009965 mouse 0 1115 522 $
0.0009975 mouse 0 1118 522 $
0.0009972 mouse 0 1129 522 $
0.0009975 mouse 0 1139 525 $
0.0009973 mouse 0 1150 529 $
0.0009973 mouse 0 1160 536 $
0.0009974 mouse 0 1171 536 $
0.0009973 mouse 0 1181 539 $
0.0009973 mouse 0 1192 546 $
0.0009976 mouse 0 1202 550 $
0.000998 mouse 0 1213 550 $
0.001008 mouse 0 1223 553 $
0.0010149 mouse 0 1230 553 $
0.0009686 mouse 0 1244 560 $
0.0010029 mouse 0 1251 560 $
0.0009913 mouse 0 1262 564 $
0.0009973 mouse 0 1272 567 $
0.0009973 mouse 0 1286 571 $
0.0011215 mouse 0 1293 574 $
0.0009486 mouse 0 1307 581 $
0.001 mouse 0 1318 585 $
0.0009974 mouse 0 1328 585 $
0.001003 mouse 0 1339 588 $
0.0009908 mouse 0 1356 599 $
0.0009995 mouse 0 1363 599 $
0.0009958 mouse 0 1377 606 $
0.0009974 mouse 0 1388 609 $
0.0009989 mouse 0 1395 609 $
0.0009963 mouse 0 1405 616 $
0.0009973 mouse 0 1419 620 $
0.0009968 mouse 0 1426 623 $
0.0009975 mouse 0 1437 627 $
0.0009972 mouse 0 1447 630 $
0.0009972 mouse 0 1458 641 $
0.0010031 mouse 0 1468 644 $
0.0010064 mouse 0 1475 644 $
0.0009825 mouse 0 1489 648 $
0.0009973 mouse 0 1496 655 $
0.0009974 mouse 0 1507 658 $
0.0009973 mouse 0 1517 662 $
0.0009973 mouse 0 1528 669 $
0.0009977 mouse 0 1535 672 $
0.000997 mouse 0 1545 676 $
0.0009974 mouse 0 1556 683 $
0.0009987 mouse 0 1566 686 $
0.0009971 mouse 0 1573 690 $
0.001001 mouse 0 1584 697 $
0.0009924 mouse 0 1587 700 $
0.0009974 mouse 0 1591 704 $
0.0009977 mouse 0 1601 711 $
0.0009969 mouse 0 1612 714 $
0.0009974 mouse 0 1619 718 $
0.0010031 mouse 0 1626 721 $
0.0009915 mouse 0 1640 725 $
0.0009974 mouse 0 1647 728 $
0.0009975 mouse 0 1654 732 $
0.0009977 mouse 0 1664 735 $
0.000997 mouse 0 1671 742 $
0.000998 mouse 0 1678 746 $
0.0009971 mouse 0 1689 749 $
0.0009974 mouse 0 1699 760 $
0.0009988 mouse 0 1703 760 $
0.0009966 mouse 0 1713 763 $
0.0009963 mouse 0 1717 770 $
0.0009973 mouse 0 1727 774 $
0.0010048 mouse 0 1734 781 $
0.0009896 mouse 0 1741 784 $
0.0009971 mouse 0 1748 791 $
0.0009976 mouse 0 1755 795 $
0.0009968 mouse 0 1759 798 $
0.0009972 mouse 0 1766 805 $
0.0009973 mouse 0 1773 805 $
0.0010999 mouse 0 1780 809 $
0.0008956 mouse 0 1783 809 $
0.0019955 mouse 0 1790 816 $
0.0009963 mouse 0 1794 819 $
0.0009974 mouse 0 1801 819 $
0.0009972 mouse 0 1804 826 $
0.0 mouse 0 1808 830 $
0.0009969 mouse 0 1811 833 $
0.0009997 mouse 0 1815 833 $
0.000996 mouse 0 1822 840 $
0.0009969 mouse 0 1825 844 $
0.0010261 mouse 0 1829 844 $
0.0009685 mouse 0 1832 847 $
0.0009972 mouse 0 1836 851 $
0.0009972 mouse 0 1839 854 $
0.0009974 mouse 0 1843 858 $
0.0009974 mouse 0 1850 861 $
0.0009975 mouse 0 1853 865 $
0.0009974 mouse 0 1857 868 $
0.0009973 mouse 0 1860 872 $
0.0009973 mouse 0 1867 875 $
0.001996 mouse 0 1874 879 $
0.0009968 mouse 0 1878 882 $
0.0009965 mouse 0 1881 886 $
0.0009975 mouse 0 1885 889 $
0.0009973 mouse 0 1888 893 $
0.0009974 mouse 0 1892 896 $
